date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:06	11421/11421	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jul%202015%2009:13:10%20GMT	http://www.gpower.co/image/gp/appicon15.png	./www.gpower.co/image/gp/appicon15.png	(from http://www.gpower.co/like.html)
16:21:06	9744/9744	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Sep%202015%2003:53:54%20GMT	http://www.gpower.co/image/gp/appicon17.png	./www.gpower.co/image/gp/appicon17.png	(from http://www.gpower.co/like.html)
16:21:08	5532/5532	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jul%202015%2002:04:33%20GMT	http://www.gpower.co/image/gp/appicon12.png	./www.gpower.co/image/gp/appicon12.png	(from http://www.gpower.co/like.html)
16:21:08	9054/9054	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jul%202015%2002:04:40%20GMT	http://www.gpower.co/image/gp/appicon13.png	./www.gpower.co/image/gp/appicon13.png	(from http://www.gpower.co/like.html)
16:21:09	4229/4229	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202016%2006:33:03%20GMT	http://www.gpower.co/image/gp/appicon18.png	./www.gpower.co/image/gp/appicon18.png	(from http://www.gpower.co/like.html)
16:21:09	25059/25059	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202016%2006:46:46%20GMT	http://www.gpower.co/image/gp/appicon19.png	./www.gpower.co/image/gp/appicon19.png	(from http://www.gpower.co/like.html)
16:21:09	5174/5174	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jul%202015%2002:06:54%20GMT	http://www.gpower.co/image/gp/appicon5.png	./www.gpower.co/image/gp/appicon5.png	(from http://www.gpower.co/like.html)
16:21:10	12168/12168	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jul%202015%2002:07:03%20GMT	http://www.gpower.co/image/gp/appicon8.png	./www.gpower.co/image/gp/appicon8.png	(from http://www.gpower.co/like.html)
16:21:11	5596/5596	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jul%202015%2002:04:03%20GMT	http://www.gpower.co/image/gp/appicon1.png	./www.gpower.co/image/gp/appicon1.png	(from http://www.gpower.co/like.html)
16:21:12	18340/18340	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jul%202015%2002:04:05%20GMT	http://www.gpower.co/image/gp/appicon10.png	./www.gpower.co/image/gp/appicon10.png	(from http://www.gpower.co/like.html)
16:21:12	10625/10625	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jul%202015%2002:04:48%20GMT	http://www.gpower.co/image/gp/appicon3.png	./www.gpower.co/image/gp/appicon3.png	(from http://www.gpower.co/like.html)
16:21:13	26299/26299	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202016%2007:02:35%20GMT	http://www.gpower.co/sitemap.html	./www.gpower.co/sitemap.html	(from http://www.gpower.co/like.html)
16:21:13	14089/14089	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Jul%202015%2002:06:59%20GMT	http://www.gpower.co/image/gp/appicon6.png	./www.gpower.co/image/gp/appicon6.png	(from http://www.gpower.co/like.html)
16:21:15	6911/6911	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Jul%202015%2009:12:17%20GMT	http://www.gpower.co/image/common/download.png	./www.gpower.co/image/common/download.png	(from http://www.gpower.co/like.html)
